state,total_vehicles,percent_ev,percent_phev,percent_hev,percent_biodiesel,percent_ef85,percent_hyd,percent_gasoline
Alabama,4835900,0.2688,0.1199,1.3090,1.1208,9.1234,0.0000,84.8281
Alaska,559800,0.4823,0.1608,1.8935,1.7149,8.3601,0.0000,81.1540
Arizona,6529000,1.3754,0.3921,2.6911,1.0507,6.6947,0.0000,83.7647
Arkansas,2708300,0.2622,0.1182,1.3662,1.3662,10.2167,0.0000,82.9339
California,36850300,3.4100,1.1145,4.6219,0.5471,3.5674,0.0459,84.6449
Colorado,5441800,1.6557,0.6891,2.8061,1.2514,6.1432,0.0000,82.8549
Connecticut,2945700,1.0728,0.6246,2.5563,0.3700,4.5354,0.0000,88.6920
Delaware,914700,0.9183,0.4154,2.5036,0.5576,6.9859,0.0000,86.5092
"District of Columbia",312100,2.5953,1.1855,5.7994,0.1282,5.3829,0.0000,84.1077
Florida,18583200,1.3717,0.3083,2.2305,0.9175,5.9252,0.0000,86.8338
Georgia,9642400,0.9583,0.2354,1.8180,0.9593,7.4608,0.0000,85.6260
Hawaii,1080100,2.3702,0.6759,3.3701,0.3148,3.4534,0.0000,88.0474
Idaho,1974600,0.4305,0.2330,2.2131,2.3245,6.7305,0.0000,79.4389
Illinois,10043200,0.9917,0.3326,2.8417,0.6124,7.6958,0.0000,85.2348
Indiana,6172100,0.4229,0.2090,1.9297,0.9122,9.3372,0.0000,83.7025
Iowa,3153300,0.2854,0.1934,1.8140,1.3224,10.5065,0.0000,80.7218
Kansas,2621100,0.4311,0.2137,1.9229,1.0644,9.6715,0.0000,82.7363
Kentucky,4039700,0.2872,0.1386,1.6610,0.9134,8.9413,0.0000,84.5360
Louisiana,3774200,0.2173,0.1060,1.0651,1.7010,10.0710,0.0000,83.2706
Maine,1236000,0.5987,0.6149,2.7184,0.9709,8.4547,0.0000,83.8269
Maryland,5060000,1.4249,0.6186,3.3340,0.6344,6.1126,0.0000,85.5296
Massachusetts,5491100,1.3440,0.7977,3.4110,0.3879,5.1902,0.0000,87.2557
Michigan,8525400,0.5900,0.3413,1.7372,0.8258,10.2482,0.0000,83.6277
Minnesota,5118500,0.7248,0.3145,2.4324,1.0296,10.0889,0.0000,82.4304
Mississippi,2723300,0.1322,0.0734,1.0355,1.2815,10.8398,0.0000,83.5604
Missouri,5626000,0.4781,0.2471,2.0245,1.2513,10.2293,0.0000,81.9161
Montana,1021700,0.4502,0.2447,2.0652,3.7095,9.2493,0.0000,76.4119
Nebraska,1971200,0.3500,0.1928,1.6538,1.4661,9.9990,0.0000,81.1891
Nevada,2556100,1.8544,0.4147,2.7229,1.0641,4.9137,0.0000,84.8676
"New Hampshire",1383700,0.7155,0.4770,2.6595,1.0046,6.4754,0.0000,85.6616
"New Jersey",7324100,1.8405,0.5584,2.3784,0.3796,5.3536,0.0000,87.8333
"New Mexico",1952400,0.5276,0.2510,2.2690,1.6441,7.7648,0.0000,81.8275
"New York",11318600,1.1600,0.8155,2.7742,0.4797,5.2224,0.0000,87.5152
"North Carolina",9085500,0.7727,0.2609,2.3180,0.8827,7.2093,0.0000,85.4548
"North Dakota",797400,0.1254,0.1003,1.0283,2.5583,11.2741,0.0000,78.4174
Ohio,10317300,0.4885,0.2326,1.9366,0.6814,8.0787,0.0000,86.0826
Oklahoma,4287900,0.5317,0.7696,1.3153,1.4716,8.2185,0.0000,83.1992
Oregon,3832700,1.6803,0.7514,4.0937,1.4481,4.8164,0.0000,80.2124
Pennsylvania,10211000,0.6875,0.3810,2.4033,0.7237,6.4803,0.0000,87.0277
"Rhode Island",877600,0.7293,0.5811,2.5182,0.3532,4.7744,0.0000,89.1067
"South Carolina",5042400,0.4145,0.1785,1.6480,0.8845,8.0240,0.0000,85.7726
"South Dakota",918000,0.1852,0.1416,1.2963,2.3420,10.7625,0.0000,78.2462
Tennessee,6538800,0.5077,0.1682,1.7327,0.8121,7.7843,0.0000,85.9561
Texas,25796600,0.8920,0.2144,1.7254,1.7859,8.9756,0.0000,82.9288
Utah,3076200,1.3003,0.4226,2.7046,2.2268,6.0204,0.0000,81.2561
Vermont,593100,1.3151,0.9611,3.4227,1.1802,6.1710,0.0000,83.6284
Virginia,7723500,1.0992,0.3470,2.9702,0.5736,6.2769,0.0000,86.3598
Washington,6816100,2.2315,0.6045,4.5070,1.0827,4.9544,0.0000,81.9090
"West Virginia",1510900,0.1853,0.1191,1.4826,1.1450,8.1673,0.0000,84.8170
Wisconsin,5529000,0.4504,0.2261,2.2355,0.9568,9.6980,0.0000,83.2827
Wyoming,652900,0.1685,0.1225,1.2866,3.2471,8.8375,0.0000,74.9119
